company,candidate_id,previous_status,status,fetched,us_title_pass,board_url,source_url,checked_at,ats_type,display_name,identity_evidence,adopt
Boys & Girls Clubs of Sarasota & DeSoto Counties,employer_449620c77ed9eb949303,unresolved,readable,6,3,https://workforcenow.cloud.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=2c2a8163-4eba-4e7d-a9f6-389500db9da2&ccId=19000101_000001,https://workforcenow.cloud.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=2c2a8163-4eba-4e7d-a9f6-389500db9da2&ccId=19000101_000001&jobId=17264&source=IN&lang=en_US,2026-09-15T20:21:07Z,adp,Boys & Girls Clubs of Sarasota & DeSoto Counties,Saved employer posting URL and current description reviewed,yes
"KMS Solutions, LLC",employer_9b304a17c1a40654f4de,timeout,readable,27,4,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=f0c6dca6-29ba-4cc4-ac7f-ed135497a773&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=f0c6dca6-29ba-4cc4-ac7f-ed135497a773&ccId=19000101_000001&jobId=611405&source=IN&lang=en_US,2026-09-15T20:22:46Z,adp,"KMS Solutions, LLC",Public welcome and/or complete posting description reviewed against saved employer link,yes
"Quest International, Inc.",employer_0aa4671709be85f97ec2,timeout,readable,11,1,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=70593cbb-73d8-4eab-af03-f823114a449c&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=70593cbb-73d8-4eab-af03-f823114a449c&ccId=19000101_000001&jobId=602985&source=IN&lang=en_US,2026-09-15T20:22:47Z,adp,"Quest International, Inc.",Public welcome and/or complete posting description reviewed against saved employer link,yes
The Paslin Company,employer_729b85e9aeb4fe6d252e,unresolved,readable,12,2,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=ee0463b8-ef3c-433b-94c8-5e2a33319a45&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=ee0463b8-ef3c-433b-94c8-5e2a33319a45&ccId=19000101_000001&jobId=539461&source=IN&lang=en_US,2026-09-15T20:22:48Z,adp,The Paslin Company,Public welcome and/or complete posting description reviewed against saved employer link,yes
AKAM Associates Inc.,employer_61cba74c3a3aaf8d4eb7,unresolved,readable,33,2,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=e4f8b9ad-dfe3-4e97-9504-6afef1e3281f&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=e4f8b9ad-dfe3-4e97-9504-6afef1e3281f&ccId=19000101_000001&jobId=594548&source=IN&lang=en_US,2026-09-15T20:22:50Z,adp,AKAM Associates Inc.,Saved employer posting URL and current description reviewed,yes
St. John's Community Health,employer_7ded7dbcdb3b1755d24e,unresolved,readable,63,4,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=1b4fa2f3-f716-4f84-ab6c-617cbf317c7b&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=1b4fa2f3-f716-4f84-ab6c-617cbf317c7b&ccId=19000101_000001&jobId=541908&source=IN&lang=en_US,2026-09-15T20:22:53Z,adp,St. John's Community Health,Saved employer posting URL and current description reviewed,yes
Advanced Technology Systems Company,employer_e3869b1d5f1b88a249d3,unresolved,readable,23,7,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=98bc5085-da7f-4583-8e58-cfea65332c30&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=98bc5085-da7f-4583-8e58-cfea65332c30&ccId=19000101_000001&jobId=960228&source=IN&lang=en_US,2026-09-15T20:22:55Z,adp,Advanced Technology Systems Company,Saved employer posting URL and current description reviewed,yes
Museum of Life and Science,employer_693a6063ed582a0ee2d5,unresolved,readable,10,2,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=002cdd05-5ee1-4962-99ad-52745759fbd4&ccId=19000101_000003,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=002cdd05-5ee1-4962-99ad-52745759fbd4&ccId=19000101_000003&jobId=573188&jwId=SYS:JW:001&source=IN&lang=en_US,2026-09-15T20:22:56Z,adp,Museum of Life and Science,Saved employer posting URL and current description reviewed,yes
Fastener Distribution Holdings,employer_11670ee863cc248dc1a9,timeout,readable,55,5,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=a6473ed1-cdd4-45f8-bc74-747398481523&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=a6473ed1-cdd4-45f8-bc74-747398481523&ccId=19000101_000001&jobId=569450&source=IN&lang=en_US,2026-09-15T20:22:59Z,adp,Fastener Distribution Holdings,FDH Aero current JD; saved Fastener Distribution Holdings posting URL,yes
Medical Technology Associates,employer_62f8a67b65a13d71ef2a,timeout,readable,17,0,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=aa154704-1acf-448b-a694-74cddcfe4899&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=aa154704-1acf-448b-a694-74cddcfe4899&ccId=19000101_000001&jobId=589569&source=IN&lang=en_US,2026-09-15T20:23:00Z,adp,Medical Technology Associates,Saved employer posting URL and current description reviewed,yes
"Strategic Insight, Ltd.",employer_03fa9b365be1c79e4319,timeout,readable,20,7,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=38575bc6-542b-464d-b966-c55fe9668ccf&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=38575bc6-542b-464d-b966-c55fe9668ccf&ccId=19000101_000001&jobId=953189&source=IN&lang=en_US,2026-09-15T20:23:02Z,adp,"Strategic Insight, Ltd.",Public welcome and/or complete posting description reviewed against saved employer link,yes
AC Martin,employer_bbb0be1c5a0942c68317,timeout,readable,6,1,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=ec120d67-f610-401b-951f-1d3eed3b8c81&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=ec120d67-f610-401b-951f-1d3eed3b8c81&ccId=19000101_000001&jobId=627081&source=IN&lang=en_US,2026-09-15T20:23:03Z,adp,AC Martin,Saved employer posting URL and current description reviewed,yes
Alliance Global Group LLC,employer_1bf0394de2fd5f2ab056,timeout,readable,13,5,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=8c2ce031-179d-42b4-a000-63d144542ca1&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=8c2ce031-179d-42b4-a000-63d144542ca1&ccId=19000101_000001&jobId=613939&source=IN&lang=en_US,2026-09-15T20:23:04Z,adp,Alliance Global Group LLC,Saved employer posting URL and current description reviewed,yes
Cadogan Tate Fine Art,employer_91ef7bba47ae8ff5b0b5,unresolved,readable,13,0,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=192c7ab1-36a7-48c9-9186-174a757f98b7&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=192c7ab1-36a7-48c9-9186-174a757f98b7&ccId=19000101_000001&jobId=643409&source=IN&lang=en_US,2026-09-15T20:23:06Z,adp,Cadogan Tate Fine Art,Public welcome and/or complete posting description reviewed against saved employer link,yes
CRL Technologies,employer_a3fe8fb30a367dd6e295,unresolved,readable,21,6,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=4184cb67-fb9d-40ea-8c3c-8a85d93caa67&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=4184cb67-fb9d-40ea-8c3c-8a85d93caa67&ccId=19000101_000001&jobId=599665&source=IN&lang=en_US,2026-09-15T20:23:07Z,adp,CRL Technologies,Public welcome and/or complete posting description reviewed against saved employer link,yes
