host,host_backlog,verdict,status,bytes,detail_jd,page_text,url
www.adzuna.com,1556,blocked,403,919,0,0,https://www.adzuna.com/details/5806902857
www.adzuna.com,1556,blocked,403,919,0,0,https://www.adzuna.com/details/5807031980
www.tesla.com,252,blocked,403,404,0,0,https://www.tesla.com/careers/search/job/221961
www.tesla.com,252,blocked,403,404,0,0,https://www.tesla.com/careers/search/job/222387
www.uber.com,112,gone,404,9,0,0,https://www.uber.com/careers/list/147863
www.uber.com,112,gone,404,9,0,0,https://www.uber.com/careers/list/147867
www.amazon.jobs,24,gone,404,27334,0,0,https://www.amazon.jobs/en/jobs/10445953/operations-manager
www.amazon.jobs,24,gone,404,27334,0,0,https://www.amazon.jobs/en/jobs/10475989/sr-financial-analyst-alexa-ai
www.workatastartup.com,19,gone,404,1405,0,0,https://www.workatastartup.com/jobs/85814
www.workatastartup.com,19,gone,404,1405,0,0,https://www.workatastartup.com/jobs/86654
ebay.wd5.myworkdayjobs.com,8,gone,200,118,0,0,https://ebay.wd5.myworkdayjobs.com/apply/job/Austin/Senior-Product-Manager-1---Technical_R0076079/apply
ebay.wd5.myworkdayjobs.com,8,gone,200,112,0,0,https://ebay.wd5.myworkdayjobs.com/apply/job/Austin/Software-Engineer---Full-Stack_R0074584/apply
msd.wd5.myworkdayjobs.com,8,gone,200,154,0,0,https://msd.wd5.myworkdayjobs.com/en-US/SearchJobs/job/USA---New-Jersey---Rahway/Junior-Technical-Product-Manager--Hybrid-_R407959-2/apply
msd.wd5.myworkdayjobs.com,8,gone,200,144,0,0,https://msd.wd5.myworkdayjobs.com/en-US/SearchJobs/job/USA---New-Jersey---Rahway/Quality---Operations-Specialist_R409344-1/apply
boeing.wd1.myworkdayjobs.com,4,gone,200,130,0,0,https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS/job/USA---Everett-WA/Senior-Supply-Chain-Manager_JR2026513030-1
boeing.wd1.myworkdayjobs.com,4,gone,200,136,0,0,https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS/job/USA---Huntsville-AL/Entry-Level-Supply-Chain-Analyst_JR2026519495
cvshealth.wd1.myworkdayjobs.com,4,gone,200,138,0,0,https://cvshealth.wd1.myworkdayjobs.com/CVS_Health_Careers/job/00311---Rhode-Island-CVS-Pharmacy-LLC/Operations-Manager_R0984114
cvshealth.wd1.myworkdayjobs.com,4,gone,200,140,0,0,https://cvshealth.wd1.myworkdayjobs.com/CVS_Health_Careers/job/07054---North-Carolina-CVS-Pharmacy-LLC/Operations-Manager_R0985531
careers-hanger.icims.com,3,blocked,405,2115,0,0,https://careers-hanger.icims.com/jobs/31809/change-management-partner-iii/job
