match_score,title,company,location,remote,pay,max_years_exp,jd_sponsorship,url
67,Senior Site Reliability Engineer,IDEXX,Virtual United States,yes,,7,,https://idexx.wd115.myworkdayjobs.com/idexx/job/Virtual-United-States/Senior-Site-Reliability-Engineer_J-053127-1
67,"Senior Strategy Manager, Global Services AI and Automation",Intuitive,"Sunnyvale, CA, United States",,,10,,https://jobs.smartrecruiters.com/Intuitive/744000144418010
66,"Senior Manager, Product Management, AI Platform",Intuitive,"Sunnyvale, CA, United States",,,8,,https://jobs.smartrecruiters.com/Intuitive/744000144830599
64,Financial Operations Program Manager,Coastal,Remote,yes,,,,https://jobs.ashbyhq.com/coastal/86783938-77d4-4cc9-b3b1-f848ad2081b9
63,Senior Data Engineer,ICE,"Jacksonville, Florida, United States",,,,,https://careers-ice.icims.com/jobs/12252/login
63,COE Make Business Systems Analyst,Intuitive,"Sunnyvale, CA, United States",,,8,,https://jobs.smartrecruiters.com/Intuitive/744000146054548
62,"Principal Consultant, Technology Delivery",ICE,"Jacksonville, Florida, United States",,,,,https://careers-ice.icims.com/jobs/13445/login
61,"Business Analyst, Product Development",ICE,"Atlanta, Georgia, United States",,,3,,https://careers-ice.icims.com/jobs/12595/login
61,Sr. Director Partner Strategy & Programs,BeyondTrust,Remote United States,yes,,5,,https://job-boards.greenhouse.io/beyondtrust/jobs/8125588
61,Deployment Lead - ERP Solutions,Rillet,Remote,yes,,,,https://jobs.ashbyhq.com/rillet/27d6e823-4edb-435d-a0f0-45efabbcad15
61,Software Engineer II - Recommendations,Klaviyo,"Boston, MA",,$116k-174k,2,,https://www.klaviyo.com/careers/jobs/7855798003?gh_jid=7855798003
60,Machine Learning Engineer,IDEXX,"Westbrook, ME",,,3,,https://idexx.wd115.myworkdayjobs.com/idexx/job/Westbrook-ME/Machine-Learning-Engineer_J-054218-1
60,"Manager, Project Management",Innomotics,"New, PA, US",,$97k-167k,10,,https://jobs.innomotics.com/job/New-Kensington-Manager%2C-Project-Management-PA-15068/1420954733
60,"Staff, Document Specialist & Business Systems Analyst - Engineering Group",Intuitive,"Sunnyvale, CA, United States",,,15,,https://jobs.smartrecruiters.com/Intuitive/744000145571790
60,Lead Project Manager,Klaviyo,"Boston, MA",,$112k-168k,5,,https://www.klaviyo.com/careers/jobs/7806009003?gh_jid=7806009003
59,QA Automation Engineer,Empower Pharmacy,US Remote,yes,,6,,https://careers.empowerpharmacy.com/jobs?gh_jid=4371980009
59,Recruiting Technical Program Manager,Atoms,"San Francisco, CA",,$139k-164k,5,,https://job-boards.greenhouse.io/atoms/jobs/8654630002
59,Product Manager,Veritone,"Irvine, CA",,$150k-175k,2,,https://veritone.wd1.myworkdayjobs.com/veritone_career_site/job/Irvine-CA/Product-Manager_R0195
58,Data Scientist,ICE,"Atlanta, Georgia; Jacksonville, Florida, United States",,,,,https://careers-ice.icims.com/jobs/13448/login
58,Operations Specialist,Alteva RCM,"Queens, New York, United States",,,3,,https://job-boards.greenhouse.io/altevarcm/jobs/4360640009
58,Software Engineer (Full-stack),Impiricus,"New York, NY, Atlanta, GA, or Remote, USA",yes,$110k-135k,2,,https://job-boards.greenhouse.io/impiricus/jobs/5397992008
58,Associate Product Manager-Bags and Accessories,Trove Brands,"Lehi, Utah",,,3,,https://job-boards.greenhouse.io/trovebrands/jobs/4373884009
58,Credit Risk Data Scientist II,Coastal,Remote,yes,,7,,https://jobs.ashbyhq.com/coastal/047ed860-0bec-4127-97ef-6cf6a7e3e8a5
58,Supply Chain Digital Product Manager,Intuitive,"Sunnyvale, CA, United States",,,8,,https://jobs.smartrecruiters.com/Intuitive/744000141283122
58,"Project Portfolio Manager, North America",Tapestry,"New York, New York, USA (Corporate Headquarters)",,$90k-110k,,,https://tapestry.wd108.myworkdayjobs.com/tapestry_careers/job/New-York-New-York-USA-Corporate-Headquarters/Project-Portfolio-Manager--North-America_JR9832-1
57,"Data Analyst, Data Intelligence",Acrisure,"816 Congress Ave Ste 1800  - AUSTIN, TX",,,5,blocked,https://acrisure.wd1.myworkdayjobs.com/acrisure/job/816-Congress-Ave-Ste-1800----AUSTIN-TX/Data-Analyst--Data-Intelligence_JR113528
