company,status,board_url,ats_type,jobs_read,source_url,notes,original_reason
Family Dollar,Blocked — unchanged,,,,,Explicit live admin blocklist; skipped.,blocklisted
Tata Consultancy Services,Added and verified,https://ibegin.tcsapps.com/candidate/?geography=US&language=EN,tcs,2374,https://www.tcs.com/careers/united-states,Board registration read back from live database.,staffing_firm
Tesla,Public portal restricted during check,,,,https://www.tesla.com/careers/search/job/280953?source=Indeed,,needs_adapter
Mphasis,Further adapter investigation required,,,,https://careers.mphasis.com,,no_board_found
Prime Healthcare,Added and verified,https://careers-primehealthcare.icims.com/jobs/search?ss=1&in_iframe=1,icims,3292,https://careers.primehealthcare.com/,Board registration read back from live database.,no_board_found
Kforce Inc,Blocked — unchanged,,,,,Explicit live admin blocklist; skipped.,blocklisted
Siemens,Added and verified,https://jobs.siemens.com/en_US/externaljobs/SearchJobs/?42386=%5B812209%5D&42386_format=17546&listFilterMode=1,avature_links,1191,https://jobs.siemens.com/en_US/externaljobs/SearchJobs,Board registration read back from live database.,needs_adapter
KPMG US,Fetch failed during check,,,,https://careers.kpmg-us.com,ValueError: blocked non-public URL: https://careers.kpmg-us.com,no_board_found
University of Michigan,Added and verified,https://careers.umich.edu/search-jobs?position=All,umich,763,https://careers.umich.edu/search-jobs?position=All,Board registration read back from live database.,no_board_found
TikTok,Added and verified,https://lifeattiktok.com/search,tiktok,1824,https://careers.tiktok.com/,Board registration read back from live database.,needs_adapter
Verizon,Further adapter investigation required,,,,https://careers.verizon.com,,no_board_found
Johns Hopkins University,University follow-up required,,,,https://careers.jhu.edu/,Official careers.jhu.edu/hiring.jhu.edu careers endpoint challenged403. Current complete public listing not verified.,needs_adapter
American Airlines,Public portal restricted during check,,,,https://jobs.aa.com/job/Fort-Worth-Project-ManagerSr-Project-Manager%2C-Planning-and-Strategy-TX-76101/1431288000/?feedId=198700&utm_source=Indeed&utm_campaign=AA_Indeed,,needs_adapter
Moody's Corporation,Adapter validation unresolved,https://careers.moodys.com/en/search-jobs,radancy,0,https://careers.moodys.com,,no_board_found
University of Pittsburgh,University follow-up required,,,,https://www.join.pitt.edu/,"Taleo agent tested public board192 rows vs215 advertised, retained partial and withheld complete adoption.",needs_adapter
EPAM Systems,Further adapter investigation required,,,,https://careers.epam.com/en/vacancy/bltgozffrn3ztm4txq9_en?city=New%20York&state=NY&country=USA&utm_source=indeed&utm_medium=xml-job-feed&utm_campaign=ta,,needs_adapter
University of Florida,Added and verified,https://careers.pageuppeople.com/674/cw/en-us/listing/,pageup,731,https://jobs.ufl.edu/,Board registration read back from live database.,no_url_at_all
University of Minnesota,University follow-up required,https://hr.myu.umn.edu/psc/hrprd/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL,peoplesoft,,https://www.myu.umn.edu/employment,PartialScrapeError: PeopleSoft returned 300 of 740 advertised postings,no_url_at_all
Dallas Independent School District,Further adapter investigation required,,,,https://careers.dallasindependentschooldistrict.com,,no_board_found
Slalom,Adapter validation unresolved,https://jobs.slalom.com/en_US/careersmarketplace/SearchJobs,avature,0,https://careers.slalom.com,,no_board_found
Indiana University,Added and verified,https://hrms.iu.edu/psc/PH1PRD_PUB/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL,peoplesoft,324,https://hr.iu.edu/working-at-iu/job-search/index.html,Board registration read back from live database.,no_board_found
Atlassian,Further adapter investigation required,,,,https://atlassian.com/careers,,no_url_at_all
The Ohio State University,Already configured,https://osu.wd1.myworkdayjobs.com/OSUCareers,workday,1011,https://hr.osu.edu/careers/,Board registration read back from live database.,board_guessed_unverified
University of Southern California,Added and verified,https://usc.wd5.myworkdayjobs.com/ExternalUSCCareers,workday,823,https://usccareers.usc.edu/,Board registration read back from live database.,no_board_found
"V-Soft Consulting Group, Inc.",Search leads saved — validation pending,,,,https://info.vsoftconsulting.com/hubfs/Saleskit/IT%20Staffing%20Overview%20l%20V-Soft.pdf,Search results are unverified leads; no board added.,no_url_at_all
The University of Iowa,University follow-up required,,,,https://jobs.uiowa.edu/,"Officialsource retrieved, but no fully validated supported board behind it during this audit.",no_board_found
Sony Interactive Entertainment,Added and verified,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal,greenhouse,192,https://careers.playstation.com/senior-product-manager/job/6191585004,Board registration read back from live database.,needs_adapter
Best Buy,Further adapter investigation required,,,,https://careers.bestbuy.com,,no_board_found
University of Utah,Added and verified,https://utah.peopleadmin.com/postings/search,peopleadmin,798,https://medicine.utah.edu/pediatrics/clinical-enterprise/recruitment,Board registration read back from live database.,no_board_found
The University of Texas at Austin,Already configured,https://utaustin.wd1.myworkdayjobs.com/UTstaff,workday,587,https://hr.utexas.edu/prospective/apply,Board registration read back from live database.,no_url_at_all
System Soft Technologies,Further adapter investigation required,,,,https://sstech.us/home-new/,,no_url_at_all
Eli Lilly and Company,Public portal restricted during check,,,,https://lilly.com/careers,,no_url_at_all
Audible,Further adapter investigation required,,,,https://audible.com/careers,,no_url_at_all
Starbucks,Further adapter investigation required,,,,https://careers.starbucks.com,,no_board_found
Cyient,Further adapter investigation required,,,,https://careers.cyient.com,,no_board_found
Schneider Electric,Public portal restricted during check,,,,https://se.com/careers,,no_url_at_all
Michigan State University,Added and verified,https://careers.pageuppeople.com/782/cw/en-us/listing/,pageup,466,https://careers.msu.edu/,Board registration read back from live database.,no_board_found
University of California Berkeley,Added and verified,https://careerspub.universityofcalifornia.edu/psc/ucb/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?SiteId=21,peoplesoft,185,https://jobs.berkeley.edu/job-listings/external-applicants,Board registration read back from live database.,no_board_found
Texas Tech University,University follow-up required,,,,https://www.texastech.edu/careers/,Official texastech.edu/careers links BrassRing partner25898 site5637/5635/5639 for TTU and separate healthscience sites. BrassRing unsupported.,no_board_found
Jacobs,Further adapter investigation required,,,,https://careers.jacobs.com/en_US/careers/JobDetail/Construction-Project-Coordinator-LSNA-TX/45494,,needs_adapter
Federal Express Corporation,Search leads saved — validation pending,,,,https://careers.fedex.com/jobs,Search results are unverified leads; no board added.,no_url_at_all
CBRE,Adapter validation unresolved,https://cbreglobal.avature.net/careers/SearchJobs,avature,0,https://cbreglobal.avature.net/careers/JobDetail/293737,,board_resolved_but_unused
University of Miami,Added and verified,https://careers.miami.edu,phenom,2025,https://careers.miami.edu/,Board registration read back from live database.,no_board_found
University of Oklahoma,University follow-up required,https://jobs.ou.edu/jobs/search,pageup,,https://jobs.ou.edu/,PartialScrapeError: Incomplete PageUp listing: PageUp listing returned no new postings,needs_adapter
University of Kentucky,Added and verified,https://ukjobs.uky.edu/postings/search,peopleadmin,879,https://ukjobs.uky.edu/,Board registration read back from live database.,no_url_at_all
Equinix,Further adapter investigation required,,,,https://careers.equinix.com/jobs/senior-construction-project-manager-new-york-united-states,,needs_adapter
West Virginia University,University follow-up required,,,,https://careers.wvu.edu/,"Taleo agent tested public board114 vs119 advertised, retained partial and withheld complete adoption.",no_board_found
Georgia Institute of Technology,Added and verified,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?SiteId=03000,peoplesoft,269,https://hr.gatech.edu/careers,Board registration read back from live database.,no_board_found
Tata Technologies,Fetch failed during check,,,,https://careers.tata-technologies.com,"SSLError: HTTPSConnectionPool(host='careers.tata-technologies.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ss",no_board_found
Two Sigma,Adapter validation unresolved,https://careers.twosigma.com/en_US/careers/SearchJobs,avature,0,https://careers.twosigma.com,,no_board_found
7-Eleven,Readable — identity review pending,https://careers.7-eleven.com/category/field-operations-jobs/7/8736544/1,radancy,5344,https://careers.7-eleven.com,,no_board_found
Yahoo,Further adapter investigation required,,,,https://careers.yahoo.com,,no_board_found
ARUP Laboratories,Further adapter investigation required,,,,https://careers.aruplaboratories.com/,,no_board_found
Jefferies,Further adapter investigation required,,,,https://www.jefferies.com/,,no_url_at_all
Leidos,Public portal restricted during check,,,,https://careers.leidos.com/jobs/18253647-data-scientist-mid-level-active-ts-slash-sci?tm_job=R-00192357&tm_event=view&tm_company=2502,,needs_adapter
Drury Hotels,Blocked — unchanged,,,,,Explicit live admin blocklist; skipped.,blocklisted
University of Houston,University follow-up required,,,,https://careers.uh.edu/,Official careers.uh.edu/jobs/search/uh-postings is campus-scoped Clinch; generic board contains entireUH system. Direct fetch202; not adopted.,no_board_found
